"HolderAddress","Balance","PendingBalanceUpdate"
"0x3821e5b83124a72c6c9548c9cab20aadb048dd90","762.080088","No"
"0x38269a34497d2dee560aa0494d829c06927e428d","26564.7888","No"
"0x3932e0efe11e22fa8d752a8e410ab166db7e5fc5","108.518566246","No"
"0x398ba21cfd6df981f824b43420228d7040d8d5b5","1000","No"
"0x39e4adc439c990953ceae92c84ab6ad3eb05d9e4","2561.447428963","No"
"0x3a0e2c7ca74840cc25a1db1bec1fa1ee8e52d074","11899.805556546","No"
"0x3a22cfa64b3492244ec7c37b351548378ab8311a","1386.88","No"
"0x3a528d0598535861e38e331ee2dd27dd94a37250","968","No"
"0x3abf67ff3d4fac4bfb969e89aff4b039780a61f0","187.458193252","No"
"0x3acf73e42a5432814750400524b70c38be9f51cf","345.848695914","No"
"0x3ae064cd492b2e2303209db04ad88cffda61cecd","2200","No"
"0x3afb31a8fdf1de5d19a30e970713d51afb1ad783","296.948719604","No"
"0x3b4bbca1dbdfb3a785be98dad85438201bd3b664","1568.826143801","No"
"0x3b94f4585fff1662bc001663f276cfdd33a032bd","213.142223815","No"
"0x3b9589b9235fd15631e4304d3b575979001c7d1b","276.887376998","No"
"0x3b96e3bc3569c4c68178011cf2d1bf0ceef9f32d","3960","No"
"0x3b98fa3f0c9cd39fe9a57e9a201a8c1bb43f0e98","11958.359012568","No"
"0x3b9f029c559f0b685977db62be06f65dacb65d15","457.6","No"
"0x3bccbd6e74d75627209a7e440f17625ab575f61d","440","No"
"0x3bef5ddea75cc8af6781187dd03ec251f58139ab","9229.724104611","No"
"0x3bf5ddda450bba1dc21d115d278e11544ed768e3","352","No"
"0x3c02c47bf1aa95841731af18bb22b05b1c9acdba","13342.804228408","No"
"0x3c3269144adc2e18550139478603f3721bb5741b","372.69582387","No"
"0x3c693268bc4357306c8c94f86b24b3ab97aecbfd","27.358890255","No"
"0x3c6a0e6048972acc7a78fbf44188386c6f0e7c5d","22.929009159","No"
"0x3c859a9e91adb43b7341b2144f66a0ffc68f8d01","290.4","No"
"0x3c9872b1d6da07e79853a3d62c91aedd1e902be4","4234.580106947","No"
"0x3d1f3d69f346446aadc998a2966b0e942da5d0bd","108.24","No"
"0x3d5581ef7df9eb5fc80a3d18a915f698b2465236","22936.224419112","No"
"0x3da619edb85523c13e1453a5b4f7412ef3c19489","70129.528","No"
"0x3dc290ed628c3a62db10e21c9cb78294ecc92f69","129.342188445","No"
"0x3de2e0123864c770c6e3148562be8c8d31fbfacc","242.680669574","No"
"0x3e79c819e7f5a9636dc571136413ce88885b68cd","416.24","No"
"0x3eac6a0f1646f158a99b837341954b4cbefc0f40","88","No"
"0x3ee5287e76dfa013b2d3c583548e753f5b8124f9","656.259643883","No"
"0x3eecfb03842d7f2074d1db3901a88b180b44a564","220","No"
"0x3f01f24e98c5f0e7a1d55ce6c8c2e8586bc5d7a2","1551.499942757","No"
"0x3f3e6cc4b11e24ccc016bb75b270384895f23987","318.075025478","No"
"0x3f5bd4019bc5b166155f8e8d45fe29a16d4c311a","1496","No"
"0x3fbc462ab667a03043490534163e89beff5e0c58","351.00846228","No"
"0x40041965b2848f36ebe8d1f7686fbc1aa7a991ac","880","No"
"0x4051195bc6e4badbdad853df78eac52ec58cf93c","132","No"
"0x4080d8a75dccd12632baa702fede7e969b834c6d","293.404465654","No"
"0x40a8066cb2d5c161f2fd0e11cd6bbaf2e5f57afc","18157.978216957","No"
"0x40ae2828762b903864eadef2265b20e6fb9b2387","264","No"
"0x40bd5c49b5a84ed58938f98165e903b0956d200f","284.193923111","No"
"0x41174cc4bad27bc10cb4a958f3421bbef3272594","880","No"
"0x41270dbbb0ff794b1fbcfb56358620c5a2ce059a","230.603412217","No"
"0x41565e7a834e365633c7d2139e4af3dbccd81d04","1372.8","No"
"0x4180bdd7c177ba61c42f236fd327978cfc529e32","261.8","No"
"0x418aa2d55af73603c94adcc370185741db1795a5","202.697075731","No"
"0x419de3eb9abf7bfce46b3888b289fbfb6d794459","352","No"
"0x4208e986bd10829ebe7e0000267d20d09f8dc0b6","14570.878669543","No"
"0x420941e34dc76cff40c025d4747c786a20a6f57b","816.583368829","No"
"0x421d0d32a3a0faba64f7bdc9eae7002c1c658321","985.745108832","No"
"0x4231d3458e214e2156b891e7702df7908250374b","1452","No"
"0x424df14aee41fb20f524963653ad9dc2b77a65af","1013.76","No"
"0x42ab4c690b894b99953a77370df452bf18020aa6","17286.72","No"
"0x42dbf106aa1b570df74ea9d32665ec594b0e3d1e","12238.817134399","No"
"0x42eaeae0e4b61de03f3da9338b6932ca8cd3898e","880","No"
"0x42fbc328350dd14d2f009edd0cf3938026956e36","293.895837848","No"
"0x430a5965bcee916b7629353be63f0ba9f9fdb18b","2111.891928646","No"
"0x4382fa5fd187b2dd00eb07a2abb8c9cdeaa2c373","564.08","No"
"0x441ad32755b1676830cd2c1c7bf1ac9067d37505","14.947370751","No"
"0x4457c727a1c2ab963887a059c51947fe83016c25","0.88","No"
"0x4469633065355c45f908fd4f889646d73bf74938","1747.333067537","No"
"0x446f24a9717eed0b91f8307fda4bdfdaf2430d9a","97.241072711","No"
"0x44bf55c4107573493643982a8ad4bbf07fe32fd9","204.7253604","No"
"0x44c94ca0a48c1759920b38ca19dbfa9a560da234","308","No"
"0x44d4901b56cf7ba9933ccb5cdf6698f92b76815a","704.29744","No"
"0x44e9743361a6594e935eca79e5f8d9579f5320e2","4661.183544217","No"
"0x45144a2af3b59dad50f4459798bd39738a500ae4","610.377112448","No"
"0x452a755e560c54a8b5f286bb1bffc81de73c4acd","145.628504609","No"
"0x452b9d012e117a32b7d7f9dc26e7b22e22ea7d4a","11602.670799317","No"
"0x457da3bba3a72dc89ff7f6816be9c55491645d04","352","No"
"0x4589ba2a8e01b6e74f77c11ff739054e0c171659","3224.866652933","No"
"0x459fd8f252aa5c2ff7249f9c034cd4b1e49c0a00","1760","No"
"0x464fe28bc98bbf96586b316932d3b4385a7b04c1","2693.768","No"
"0x46bc47fa8d80874ab88d71cf1e79287402972518","1520.879631049","No"
"0x46d45ef67665ea1469e77ff9bd34efcd8191c16a","96.137625354","No"
"0x470745873b69874c0dc9b8b7d069f2cbac206d88","300.118965095","No"
"0x47693bcdcbcd9e1c0c4a7bb9f9b16a2a7f1318ed","13200","No"
"0x476be0cdd12fe19965ad3e23eea60e39b1774d57","164.56","No"
"0x479a2de0c3c216c6a4c42e5155b0fc86ba2edeaf","488.025133849","No"
"0x47e2f0b5d76babc644ee377e31afe7010f0f4824","259.109379817","No"
